Variável de Análise,Métrica de Qualidade,Coef. Spearman,p-valor
Popularidade (Estrelas),Acoplamento Entre Objetos (CBO),-0.01,0.80918
Popularidade (Estrelas),Profundidade da Árvore de Herança (DIT),-0.01,0.54921
Popularidade (Estrelas),Falta de Coesão dos Métodos (LCOM),0.02,0.2945
Maturidade (anos),Acoplamento Entre Objetos (CBO),0.01,0.73394
Maturidade (anos),Profundidade da Árvore de Herança (DIT),0.16,0.0
Maturidade (anos),Falta de Coesão dos Métodos (LCOM),0.12,0.0
Atividade (Releases),Acoplamento Entre Objetos (CBO),0.2,0.0
Atividade (Releases),Profundidade da Árvore de Herança (DIT),0.13,0.0
Atividade (Releases),Falta de Coesão dos Métodos (LCOM),0.12,0.0
Tamanho (LOC),Acoplamento Entre Objetos (CBO),0.71,0.0
Tamanho (LOC),Profundidade da Árvore de Herança (DIT),-0.01,0.77362
Tamanho (LOC),Falta de Coesão dos Métodos (LCOM),0.85,0.0
